"","x","y","depJan","depFeb","depMar","depApr","depMay","depJun","depJul","depAug","depSep","depOct","depNov","depDec"
"13394",-175,-86.2105263157895,1.38175441776278e-12,2.25127305103598e-12,2.69612099064855e-12,2.96108638554938e-12,2.08920943785047e-12,7.78216030740333e-12,1.12194532534045e-11,2.23020233567305e-11,1.31029853410274e-11,1.47813013355081e-11,2.10741315526881e-12,1.56839544365461e-12
"13395",-172.5,-86.2105263157895,1.66891747042275e-12,2.16244740048099e-12,3.19900985126846e-12,3.44471451104212e-12,2.83860440493687e-12,7.46846089305804e-12,1.29777395342596e-11,5.10940090895653e-11,1.16521790080473e-11,1.38443928562426e-11,2.31072675947188e-12,1.7642107257498e-12
"13396",-170,-86.2105263157895,1.5208563759405e-12,1.95176154443633e-12,4.54888621582506e-12,4.40854485256914e-12,2.64109260584558e-12,8.36951281595207e-12,1.29187821024275e-11,1.06398913727397e-10,1.30239698725428e-11,1.62149838386683e-11,2.1735061355854e-12,1.84501018855815e-12
"13397",-167.5,-86.2105263157895,1.75637993262222e-12,2.08668560259896e-12,2.85829166350463e-12,3.19091591147394e-12,3.06888961341124e-12,8.84824249697128e-12,1.33921819556811e-11,3.10211275917282e-11,1.27632645663227e-11,1.40054609145475e-11,2.16733769755636e-12,1.98607066690442e-12
"13398",-165,-86.2105263157895,1.27118278976776e-12,1.77820281006594e-12,2.84784241095742e-12,2.82863656356523e-12,2.71306443421445e-12,7.30907834561487e-12,1.38035449464711e-11,2.52516833737005e-11,1.20708855203802e-11,1.40830733153066e-11,2.03836281235645e-12,1.92489328347855e-12
"13399",-162.5,-86.2105263157895,1.24732749382479e-12,1.54502084420317e-12,2.21689331778382e-12,3.11069348456696e-12,2.51097093862025e-12,6.49987132751029e-12,1.34029296602873e-11,4.7965394473653e-11,1.08070668350559e-11,1.22659359476059e-11,1.80874354647917e-12,1.82859846992489e-12
"13400",-160,-86.2105263157895,1.16115289228207e-12,1.36214091458889e-12,2.71606038974889e-12,2.58510025519698e-12,2.44078353338554e-12,6.60745700554755e-12,1.33931516389991e-11,1.81232234114945e-11,9.7940656591935e-12,1.1103197600229e-11,1.60785243532942e-12,1.75473272882551e-12
"13401",-157.5,-86.2105263157895,1.05264012609612e-12,1.46780466428093e-12,1.74765664205393e-12,2.36052065536137e-12,2.39693738109069e-12,6.02009020331782e-12,1.31591274894527e-11,1.47718606450912e-11,8.72522478919546e-12,1.0137733776839e-11,1.40518947948479e-12,1.64702941379374e-12
"13402",-155,-86.2105263157895,9.68844278942908e-13,1.19835955829102e-12,1.49302672199967e-12,2.29299916456715e-12,2.07111063605056e-12,5.25821585217393e-12,1.15414361417541e-11,1.85190074335055e-11,8.20479357977637e-12,9.71100450724292e-12,1.31491645079326e-12,1.59189439813062e-12
"13403",-152.5,-86.2105263157895,8.7858647302163e-13,1.08677543740344e-12,1.58144571733065e-12,2.31924250579226e-12,2.14272412183714e-12,5.26088762702363e-12,1.09196598754158e-11,1.96670027065673e-11,8.3370427184795e-12,9.07451261045699e-12,1.27017165477489e-12,1.49777479694924e-12
"13404",-150,-86.2105263157895,8.45763893375966e-13,1.02818249443645e-12,1.257541472383e-12,2.24644435972566e-12,1.92141605970535e-12,5.66106724181109e-12,1.09752920253036e-11,1.38654091412683e-11,8.63155086498719e-12,8.62915009832896e-12,1.20168419701971e-12,1.44889669720046e-12
"13405",-147.5,-86.2105263157895,8.43767709358018e-13,9.67395114096253e-13,1.61552814201832e-12,2.1898851216892e-12,1.92933761770719e-12,5.006992402172e-12,1.04508614439449e-11,1.48318575134046e-11,7.4810673479395e-12,8.32459406583611e-12,1.2611537714415e-12,1.40275054869833e-12
